NOME_DIRIGENTE;NOME_CARGO;NOME_UNIDADE;DATA_INICIO_AFASTAMENTO;DATA_FIM_AFASTAMENTO;NOME_MOTIVO_AFASTAMENTO
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;07/06/2025;13/06/2025;Viagem Oficial
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;07/06/2025;13/06/2025;Viagem Oficial do Titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;28/07/2025;01/08/2025;Viagem Oficial
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;28/07/2025;01/08/2025;Viagem Oficial do Titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;30/09/2025;04/10/2025;Viagem Oficial
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;30/09/2025;04/10/2025;Viagem Oficial do Titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;05/12/2025;12/12/2025;Afastamento do Cargo
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;05/12/2025;12/12/2025;Afastamento do Cargo do Titular
FRANCISCO MACENA DA SILVA                                ;Secretário-Executivo;Secretaria-Executiva;14/06/2025;19/06/2025;Viagem Oficial 
LUCIANA VASCONCELOS NAKAMURA;Secretária-Executiva - Substituta;Secretaria-Executiva;14/06/2025;19/06/2025;Viagem Oficial do Titular
FRANCISCO MACENA DA SILVA                                ;Secretário-Executivo;Secretaria-Executiva;14/07/2025;25/07/2025;Férias
LUCIANA VASCONCELOS NAKAMURA;Secretária-Executiva - Substituta;Secretaria-Executiva;14/07/2025;25/07/2025;Férias do Titular
FRANCISCO MACENA DA SILVA                                ;Secretário-Executivo;Secretaria-Executiva;30/11/2025;04/12/2025;Viagem Oficial 
LUCIANA VASCONCELOS NAKAMURA;Secretária-Executiva - Substituta;Secretaria-Executiva;30/11/2025;04/12/2025;Viagem Oficial do Titular
FRANCISCO MACENA DA SILVA                                ;Secretário-Executivo;Secretaria-Executiva;29/12/2025;31/12/2025;Recesso de Final de Ano
LUCIANA VASCONCELOS NAKAMURA;Secretária-Executiva - Substituta;Secretaria-Executiva;29/12/2025;31/12/2025;Recesso de Final de Ano do Titular
