Data da sessão;Unidade Instauradora;Descrição Acórdão;Processo;TCE
06/08/2024;Ministério do Trabalho e Emprego;Acórdão 5487/2024-2C;008.379/2024-6;2596|2023
06/08/2024;Ministério do Trabalho e Emprego;Acórdão 5474/2024-2C;000.260/2024-0;2030|2023
06/08/2024;Ministério do Trabalho e Emprego;Acórdão 6814/2024-1C;000.257/2024-9;1922|2023
06/08/2024;Ministério do Trabalho e Emprego;Acórdão 5475/2024-2C;000.261/2024-6;2096|2023
31/07/2024;Ministério do Trabalho e Emprego;Acórdão 6528/2024-1C;032.335/2023-7;1058|2023
31/07/2024;Ministério do Trabalho e Emprego;Acórdão 6498/2024-1C;032.185/2023-5;1229|2023
31/07/2024;Ministério do Trabalho e Emprego;Acórdão 6363/2024-1C;005.667/2024-0;2015|2023
31/07/2024;Ministério do Trabalho e Emprego;Acórdão 6362/2024-1C;005.609/2024-0;2129|2023
31/07/2024;Ministério do Trabalho e Emprego;Acórdão 6359/2024-1C;005.603/2024-2;2017|2023
31/07/2024;Ministério do Trabalho e Emprego;Acórdão 6156/2024-1C;038.305/2021-6;1059|2021
31/07/2024;Ministério do Trabalho e Emprego;Acórdão 6360/2024-1C;005.606/2024-1;2061|2023
31/07/2024;Ministério do Trabalho e Emprego;Acórdão 6364/2024-1C;007.424/2024-8;2162|2023
31/07/2024;Ministério do Trabalho e Emprego;Acórdão 6361/2024-1C;005.608/2024-4;2112|2023
23/07/2024;Ministério do Trabalho e Emprego;Acórdão 6076/2024-1C;034.658/2023-8;1061|2023
23/07/2024;Ministério do Trabalho e Emprego;Acórdão 6077/2024-1C;039.496/2023-6;653|2023
23/07/2024;Ministério do Trabalho e Emprego;Acórdão 6018/2024-1C;006.476/2024-4;2466|2023
23/07/2024;Ministério do Trabalho e Emprego;Acórdão 6020/2024-1C;006.867/2024-3;2458|2023
23/07/2024;Ministério do Trabalho e Emprego;Acórdão 6019/2024-1C;006.478/2024-7;2629|2023
16/07/2024;Ministério do Trabalho e Emprego;Acórdão 5897/2024-1C;032.131/2023-2;1260|2023
16/07/2024;Ministério do Trabalho e Emprego;Acórdão 5759/2024-1C;005.811/2024-4;2371|2023
16/07/2024;Ministério do Trabalho e Emprego;Acórdão 5758/2024-1C;000.499/2024-2;2046|2023
09/07/2024;Ministério do Trabalho e Emprego;Acórdão 4640/2024-2C;000.150/2024-0;2131|2023
09/07/2024;Ministério do Trabalho e Emprego;Acórdão 5529/2024-1C;037.333/2023-2;1653|2023
09/07/2024;Ministério do Trabalho e Emprego;Acórdão 4642/2024-2C;019.311/2023-0;3401|2022
09/07/2024;Ministério do Trabalho e Emprego;Acórdão 5528/2024-1C;037.331/2023-0;1379|2023
02/07/2024;Ministério do Trabalho e Emprego;Acórdão 4926/2024-1C;000.476/2024-2;2123|2023
02/07/2024;Ministério do Trabalho e Emprego;Acórdão 5019/2024-1C;037.330/2023-3;1369|2023
02/07/2024;Ministério do Trabalho e Emprego;Acórdão 4929/2024-1C;000.493/2024-4;1858|2023
02/07/2024;Ministério do Trabalho e Emprego;Acórdão 4104/2024-2C;000.262/2024-2;2286|2023
26/06/2024;Ministério do Trabalho e Emprego;Acórdão 4501/2024-1C;037.532/2023-5;1281|2023
26/06/2024;Ministério do Trabalho e Emprego;Acórdão 4561/2024-1C;037.322/2023-0;1429|2022
26/06/2024;Ministério do Trabalho e Emprego;Acórdão 4496/2024-1C;032.937/2023-7;1309|2023
26/06/2024;Ministério do Trabalho e Emprego;Acórdão 4502/2024-1C;037.707/2023-0;1686|2023
25/06/2024;Ministério do Trabalho e Emprego;Acórdão 3956/2024-2C;019.655/2023-1;412|2023
18/06/2024;Ministério do Trabalho e Emprego;Acórdão 4247/2024-1C;031.805/2022-1;1783|2022
18/06/2024;Ministério do Trabalho e Emprego;Acórdão 4127/2024-1C;015.040/2023-2;3212|2022
18/06/2024;Ministério do Trabalho e Emprego;Acórdão 3778/2024-2C;019.696/2023-0;279|2023
11/06/2024;Ministério do Trabalho e Emprego;Acórdão 3499/2024-2C;035.207/2023-0;1038|2023
04/06/2024;Ministério do Trabalho e Emprego;Acórdão 3373/2024-2C;022.023/2023-2;3141|2022
04/06/2024;Ministério do Trabalho e Emprego;Acórdão 3946/2024-1C;037.332/2023-6;1581|2023
21/05/2024;Ministério do Trabalho e Emprego;Acórdão 3205/2024-2C;022.027/2023-8;3177|2022
21/05/2024;Ministério do Trabalho e Emprego;Acórdão 3215/2024-2C;035.210/2023-0;1227|2023
21/05/2024;Ministério do Trabalho e Emprego;Acórdão 3789/2024-1C;032.137/2023-0;994|2023
21/05/2024;Ministério do Trabalho e Emprego;Acórdão 3204/2024-2C;021.976/2023-6;906|2023
14/05/2024;Ministério do Trabalho e Emprego;Acórdão 3692/2024-1C;037.334/2023-9;1691|2023
14/05/2024;Ministério do Trabalho e Emprego;Acórdão 3687/2024-1C;014.519/2023-2;3186|2022
14/05/2024;Ministério do Trabalho e Emprego;Acórdão 3659/2024-1C;040.490/2023-8;1676|2023
14/05/2024;Ministério do Trabalho e Emprego;Acórdão 3658/2024-1C;040.484/2023-8;1587|2023
14/05/2024;Ministério do Trabalho e Emprego;Acórdão 3651/2024-1C;008.645/2023-0;933|2021
07/05/2024;Ministério do Trabalho e Emprego;Acórdão 3515/2024-1C;020.779/2022-4;1251|2022
30/04/2024;Ministério do Trabalho e Emprego;Acórdão 2833/2024-2C;032.079/2023-0;3217|2022
30/04/2024;Ministério do Trabalho e Emprego;Acórdão 3459/2024-1C;004.736/2023-0;2970|2022
30/04/2024;Ministério do Trabalho e Emprego;Acórdão 3408/2024-1C;007.798/2023-7;3216|2022
30/04/2024;Ministério do Trabalho e Emprego;Acórdão 3414/2024-1C;040.492/2023-0;1917|2023
