Comunicação;Destinatário;Contato;Unidade Emitente;Processo;Data de Expedição;Data da Resposta
Ofício 025.018/2026;SECRETARIA DE INSPEÇÃO DO TRABALHO;SECRETÁRIO(A) DE INSPEÇÃO DO TRABALHO DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;018.781/2024-1;03/07/2026;
Ofício 025.010/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;018.781/2024-1;03/07/2026;
Ofício 024.979/2026;CONSELHO CURADOR DO FUNDO DE GARANTIA POR TEMPO DE SERVIÇO;QUENIO CERQUEIRA DE FRANÇA;SEPROC;021.301/2025-5;03/07/2026;
Ofício 024.980/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;021.301/2025-5;03/07/2026;
Ofício 024.422/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;000.970/2026-3;02/07/2026;
Ofício 024.180/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;000.258/2024-5;02/07/2026;
Ofício 000.111/2026;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;CLAUDIO ANTONIO DE ALMEIDA PY;AUDFISCAL;012.513/2026-1;01/07/2026;09/07/2026
Ofício 024.446/2026;SUPERINTENDÊNCIA REGIONAL DO TRABALHO NO ESTADO DO MARANHÃO;SUPERINTENDÊNCIA REGIONAL DO TRABALHO E EMPREGO NO MARANHÃO;SEPROC;010.349/2003-6;01/07/2026;
Ofício 000.050/2026;CONSELHO CURADOR DO FUNDO DE GARANTIA POR TEMPO DE SERVIÇO;QUENIO CERQUEIRA DE FRANÇA;AUDBANCOS;014.285/2026-6;24/06/2026;25/06/2026
Ofício 023.439/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;014.938/2025-1;22/06/2026;
Ofício 021.911/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;016.234/2024-3;22/06/2026;
Ofício 021.983/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;022.845/2025-9;18/06/2026;
Ofício 022.131/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;014.115/2025-5;18/06/2026;
